Unit_Name,Faction_Name,Unit_Abilities,Standard_Abilities,Has_Sustain_Damage,Cost,Combat,Combat_Value,Shots,Move,Capacity,Unit_Type
Matriarch,The Naalu Collective,"During an invasion in this system, you may commit fighters to planets as if they were ground forces. When combat ends, return those units to the space area.",,True,8,9 (x2),9,2,1,6,Flagship
Memoria,The Nomad,You may treat this unit as if it were adjacent to systems that contain one or more of your mechs,Anti-Fighter Barrage 8 (x3),True,8,7 (x2)^,7,2,1^,3^,Flagship
Memoria II,The Nomad,You may treat this unit as if it were adjacent to systems that contain one or more of your mechs,Anti-Fighter Barrage 5 (x3),True,8,5 (x2),5,2,2,6,Flagship
Nightbloom,"Il Sai Lakoe, Herald of Thorns","When this unit moves, you may resolve the PRODUCTION abilities of your units in the system it started in and each system it moved through.",,True,8,7 (x2),7,2,1,6,Flagship
Ouranos,The Titans of Ul,"DEPLOY: After you activate a system that contains 1 or more of your PDS, you may replace 1 of those PDS with this unit",,True,8,7 (x2),7,2,1,3,Flagship
Prototype War Sun I,The Embers of Muaat,,Other players' units in this system lose their Planetary Shield ability & Bombardment 3 (x3),True,12^,3 (x3),3,3,1^,6,War_Sun
Prototype War Sun II,The Embers of Muaat,,Other players' units in this system lose their Planetary Shield ability & Bombardment 3 (x3),True,10,3 (x3),3,3,3,6,War_Sun
Quetzecoatl,The Argent Flight,Other players cannot use SPACE CANNON against your ships in this system,,True,8,7 (x2),7,2,1,3,Flagship
Quietus,The Crimson Rebellion,"While this unit is in a system that contains an active breach, other players units in systems with active breaches lose all their unit abilities",,True,8,5 (x2),5,2,1,3,Flagship
Salai Sai Corian,The Winnu,"When this unit makes a combat roll, it rolls a number of dice equal to the number of your opponent's non-fighter ships in this system.",,True,8,7,7,1,1,3,Flagship
Saturn Engine I,The Titans of Ul,,,False,2,7^,7,1,2^,1^,Cruiser
Saturn Engine II,The Titans of Ul,,,True,2,6,6,1,3,2,Cruiser
Scintillia,Avarice Rex,"When you splice, gain 2 commodities or convert up to 2 of your commodities to trade goods.",,True,8,9 (x2),9,2,1,1,Flagship
Son of Ragh,The Clan of Saar,,Anti-Fighter Barrage 6 (x4),True,8,5 (x2),5,2,1,3,Flagship
Strike Wing Alpha I,The Argent Flight,,Anti-Fighter Barrage 9 (x2),False,1,8^,8,1,2,1,Destroyer
Strike Wing Alpha II,The Argent Flight,"When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponents infantry in the space area of the active system & ",Anti-Fighter Barrage 6 (x3),False,1,7,7,1,2,1,Destroyer
Super-Dreadnought,The L1Z1X Mindnet,,Bombardment 5,True,4,5^,5,1,1^,2,Dreadnought
Super-Dreadnought II,The L1Z1X Mindnet,"""Direct Hit"" cards are no longer effective against this type of ship.",Bombardment 4,True,4,4,4,1,2,2,Dreadnought
The Alastor,The Nekro Virus,"At the start of a space combat, choose any number of your ground forces in this system to participate in that combat as if they were ships.",,True,8,9 (x2),9,2,1,3,Flagship
The Egeiro,Last Bastion,Apply +1 to the results of each of this unit's combat rolls for each non-home system that contains a planet you control. & Production 1,,True,8,9,9,1,1,3,Flagship
The Face of Janovet,El Nen Janovet,"This unit gains the unit abilities and text abilities of your destroyer, cruiser, and dreadnought unit upgrade technologies.",,True,8,5 (x2),5,2,1,3,Flagship
The Inferno,The Embers of Muaat,ACTION: Spend 1 token from your strategy pool to place 1 cruiser in this unit's system.,,True,8,5 (x2),5,2,1,3,Flagship
The Scarlet Knife,A Sickening Lurch,"This ship can transport any number of infantry and fighters, and they do not count against this ship's capacity.",Bombardment 7,True,8,7 (x2),7,2,1,1,Flagship
The Scarlet Knife,The Ruby Monarch,"DEPLOY: At the start of your turn, you may discard 1 of your ability or genomes to place this unit from your reinforcements into a system that contains your ships.",,True,8,5 (x2),5,2,2,3,Flagship
The Terror Between,The Vuil'Raith Cabal,"Capture all other non-structure units that are destroyed in this unit's system, including your own",Bombardment 5,True,8,5 (x2),5,2,1,3,Flagship
Tizona,The Saint of Swords,Apply +1 to the MOVE value of this ship if it would transport 4 units.,,True,8,3,3,1,2,4,Flagship
Van Hauge,The Yin Brotherhood,"When this ship is destroyed, destroy all ships in this system.",,True,8,9 (x2),9,2,1,3,Flagship
Visz el Vir,The Naaz-Rokha Alliance,Your mechs in this system roll 1 additional die during combat,,True,8,9 (x2),9,2,1,4,Flagship
War Sun,Common Unit,,,False,-^,-^,-,1,-^,-^,War_Sun
War Sun,Common Unit,,Other players' units in this system lose their Planetary Shield ability & Bombardment 3 (x3),True,12,3 (x3),3,3,2,6,War_Sun
Wrath of Kenara,The Emirates of Hacan,"After you roll a die during space combat in this system, you may spend 1 trade good to apply +1 to the result.",,True,8,7 (x2),7,2,1,3,Flagship
Y'sia Y'ssrila,The Yssaril Tribes,This ship can move through systems that contain other player's ships.,,True,8,5 (x2),5,2,2,3,Flagship
[0.0.1],The L1Z1X Mindnet,"During a space combat, hits produced by this ship and by your dreadnoughts in this system must be assigned to non-fighter ships if able.",,True,8,5 (x2),5,2,1,5,Flagship
